n_estimators,num_leaves,learning_rate,k,threshold,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,10,0.39999999999999997,0.5122716894977168,0.5120412844036697,0.9960959286112661,0.9436482240935407,-19.92063755851398,0.5625,0.005260081823495032,0.016628585898623927,-0.8005550972937647
50,5,0.05,10,0.44999999999999996,0.521689497716895,0.5202072538860104,0.8399330730619075,0.5767504712647675,-16.9401289953664,0.5287356321839081,0.18819403857393338,-0.19030897887143583,-22.15685931708774
50,5,0.05,10,0.49999999999999994,0.5269216133942162,0.5386666666666666,0.5257482803495074,0.3246989419313018,-12.737444969753835,0.5152033447358418,0.5281511786479641,-0.3350008961821359,-37.26429113492193
50,5,0.05,10,0.5499999999999999,0.5038051750380518,0.5680868838763575,0.12641754973043318,-0.03306317427902117,-14.676611628926981,0.49554482018250134,0.8992791739723359,-0.5289073306731173,-56.612354212130356
50,5,0.05,10,0.5999999999999999,0.4925799086757991,0.6573426573426573,0.0174753671686187,0.04532424361746501,-4.976265961790212,0.4903076477963159,0.9904539255795831,-0.5001703300685347,-53.64970527108587
50,5,0.05,10,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,11,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,11,0.39999999999999997,0.5122716894977168,0.5120068610634648,0.9988845510317903,0.9327168519940827,-19.73338442951044,0.6666666666666666,0.0023378141437755697,0.01106010822841319,-0.27407762346757
50,5,0.05,11,0.44999999999999996,0.5196917808219178,0.5188657672078665,0.8436512362892731,0.5080944778459429,-16.970412580838758,0.5237825594563986,0.18020650691603352,-0.2252731744646792,-25.58102119033621
50,5,0.05,11,0.49999999999999994,0.5273021308980214,0.5387230827351719,0.5302100762223462,0.17328863008132234,-15.183147392237426,0.5157148332694519,0.5242548217416715,-0.4112817795960372,-43.86351913927419
50,5,0.05,11,0.5499999999999999,0.5044710806697108,0.5691056910569106,0.13013571295779885,-0.02421694106569361,-13.077943263908763,0.49590605472958416,0.8967465419832457,-0.5243530272006349,-56.202898922271544
50,5,0.05,11,0.5999999999999999,0.4887747336377473,0.5531914893617021,0.004833612195575386,0.002336814721425773,-3.8718105629554493,0.4884854276158624,0.9959088252483927,-0.5213501882433343,-55.26173539944611
50,5,0.05,11,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,12,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,12,0.39999999999999997,0.512652207001522,0.5122044241037376,0.998698642870422,0.9628353969974652,-19.53353972405444,0.7083333333333334,0.003311903370348724,0.026740681221721463,-0.3220001607407214
50,5,0.05,12,0.44999999999999996,0.5221651445966514,0.5205210975328568,0.8393753485778026,0.5081582658289101,-16.2825731786702,0.529923830250272,0.18975258133645043,-0.22581164268318465,-25.971115236019557
50,5,0.05,12,0.49999999999999994,0.526541095890411,0.538490999617005,0.5227737497676148,0.22897088252330322,-13.680063045581745,0.5147448015122873,0.5304889927917398,-0.3832864390780203,-41.70857696425747
50,5,0.05,12,0.5499999999999999,0.5042808219178082,0.5689655172413793,0.12883435582822086,-0.018548815633351978,-13.734852776186973,0.49580374435119434,0.8977206312098188,-0.5217202352671586,-56.00595892137614
